API_Url	Response time with 1 users (Seconds)	Status Code with 1 users	No of records per user	Data Transferred per User	Timestamp
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 16080&$top=10	2.125	200	0	0.000109375MB	2017-06-14 18:39:16.093000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 54019&$top=10	2.57700014114	200	0	0.000109375MB	2017-06-14 18:39:18.673000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 48306&$top=10	2.46799993515	200	0	0.000109375MB	2017-06-14 18:39:21.142000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 55003&$top=10	2.57800006866	200	0	0.000109375MB	2017-06-14 18:39:23.721000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 36316&$top=10	0.865000009537	200	0	0.000109375MB	2017-06-14 18:39:24.587000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 53342&$top=10	3.17899990082	200	0	0.000109375MB	2017-06-14 18:39:27.767000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 50091&$top=10	2.25300002098	200	0	0.000109375MB	2017-06-14 18:39:30.022000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 52396&$top=10	1.83800005913	200	0	0.000109375MB	2017-06-14 18:39:31.861000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 53259&$top=10	3.87400007248	200	0	0.000109375MB	2017-06-14 18:39:35.736000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$filter=GMDN_CODE eq 59741&$top=10	2.69000005722	200	0	0.000109375MB	2017-06-14 18:39:38.426000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$top=10	55.3029999733	200	10	0.006306640625MB	2017-06-14 18:40:33.730000
