Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:36:25,BDNA,PERMANENT,35.05,26.78,8.28,76.39
2016-02-11 23:36:25,BDNA_PUBLISH,PERMANENT,27.38,25.65,1.73,93.69
2016-02-11 23:36:25,SYSAUX,PERMANENT,5.47,4.13,1.34,75.51
2016-02-11 23:36:25,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:36:25,UNDOTBS1,UNDO,6.1,.23,5.87,3.78
2016-02-11 23:36:25,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:37:25,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:37:25,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 23:37:25,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:37:46,BDNA,PERMANENT,35.05,26.78,8.28,76.39
2016-02-11 23:37:46,BDNA_PUBLISH,PERMANENT,27.38,25.65,1.73,93.69
2016-02-11 23:37:46,SYSAUX,PERMANENT,5.47,4.13,1.34,75.51
2016-02-11 23:37:46,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:37:46,UNDOTBS1,UNDO,6.1,.21,5.89,3.45
2016-02-11 23:37:46,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:38:46,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:38:46,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
