Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:59:14,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:00:14,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:00:14,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:00:14,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:00:26,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 21:00:26,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:00:26,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 21:00:26,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:00:26,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 21:00:26,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:01:25,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:01:25,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:01:25,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:01:37,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 21:01:37,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:01:37,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:01:37,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:01:37,UNDOTBS1,UNDO,13.1,2.63,10.47,20.1
2016-02-17 21:01:37,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:02:37,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:02:37,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:02:37,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:02:48,BDNA,PERMANENT,8.88,8.44,.44,95.04
2016-02-17 21:02:48,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:02:48,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:02:48,SYSTEM,PERMANENT,.95,.85,.1,89.69
