Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:54:55,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:54:55,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:55:56,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:55:56,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:55:56,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:56:18,BDNA,PERMANENT,16.11,15.66,.44,97.26
2016-02-12 10:56:18,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:56:18,SYSAUX,PERMANENT,5.47,4.15,1.32,75.92
2016-02-12 10:56:18,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:56:18,UNDOTBS1,UNDO,6.1,1.15,4.95,18.8
2016-02-12 10:56:18,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:57:19,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:57:19,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:57:19,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:57:41,BDNA,PERMANENT,16.69,16.16,.53,96.84
2016-02-12 10:57:41,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:57:41,SYSAUX,PERMANENT,5.47,4.15,1.32,75.92
2016-02-12 10:57:41,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:57:41,UNDOTBS1,UNDO,6.1,1.15,4.95,18.8
2016-02-12 10:57:41,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:58:43,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:58:43,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:58:43,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:59:04,BDNA,PERMANENT,17.57,16.73,.84,95.2
2016-02-12 10:59:04,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:59:04,SYSAUX,PERMANENT,5.47,4.15,1.32,75.92
2016-02-12 10:59:04,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:59:04,UNDOTBS1,UNDO,6.1,1.15,4.95,18.8
2016-02-12 10:59:04,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:00:05,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:00:05,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:00:05,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:00:29,BDNA,PERMANENT,17.57,17.23,.34,98.05
2016-02-12 11:00:29,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:00:29,SYSAUX,PERMANENT,5.47,4.15,1.32,75.92
2016-02-12 11:00:29,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:00:29,UNDOTBS1,UNDO,6.1,1.15,4.95,18.8
2016-02-12 11:00:29,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:01:31,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:01:31,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:01:31,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:01:52,BDNA,PERMANENT,18.25,17.73,.53,97.11
2016-02-12 11:01:52,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:01:53,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:01:53,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:01:53,UNDOTBS1,UNDO,6.1,1.15,4.95,18.84
2016-02-12 11:01:53,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:02:53,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:02:53,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:02:53,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:03:18,BDNA,PERMANENT,19.04,18.23,.81,95.75
2016-02-12 11:03:18,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:03:18,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:03:18,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:03:18,UNDOTBS1,UNDO,6.1,1.06,5.04,17.31
2016-02-12 11:03:18,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:04:19,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:04:19,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:04:19,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:04:42,BDNA,PERMANENT,19.72,18.73,.99,94.97
2016-02-12 11:04:42,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:04:42,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:04:42,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:04:42,UNDOTBS1,UNDO,6.1,1.06,5.04,17.31
2016-02-12 11:04:42,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:05:42,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
